,Hydro,Deficit,Flood500,Formulation
0,-42.0400954268218995935,1644.0120608334869,1.9624791043720076,HydroInfo_500
1,-39.0012683792055199206,118.29537037515551,1.4541409727204526,HydroInfo_500
2,-38.0394573640341633336,834.0230135258481,0.033808460801186165,HydroInfo_500
3,-35.1138526130865074038,170.47025096811367,0.0985494140277332,HydroInfo_500
4,-38.0015892639345835846,780.8200031996568,0.0820169477444068,HydroInfo_500
5,-38.293557645387501509,118.98631140174442,1.042365076576029,HydroInfo_500
6,-40.0906319247425813046,143.85797093884642,1.3907605583366447,HydroInfo_500
7,-41.1154609919208056112,219.85286409778405,0.6458459957741134,HydroInfo_500
8,-41.0581845005469077137,174.02792008484323,0.7848025334838303,HydroInfo_500
9,-40.0099283675660899462,163.2405793141911,0.14860954538591642,HydroInfo_500
10,-37.1438265276151398098,197.59380619864095,0.040887499400270144,HydroInfo_500
11,-39.2562124762022293112,144.4979027835116,0.23283006775875484,HydroInfo_500
12,-42.1096018157565481488,1146.6714816432484,2.019635362736816,HydroInfo_500
13,-42.0022758994995655257,1674.7507760093836,1.892080494942025,HydroInfo_500
