,Hydro,Deficit,Flood100,Formulation
0,-43.15158235303459122,265.7673185005999,2.0994597129102264,HydroInfo_100
1,-39.44952242818521171,112.9553432273082,2.1308070756974367,HydroInfo_100
2,-41.71331173565378236,1264.8898439181983,0.8707254685382715,HydroInfo_100
3,-40.36179993050999570,877.8111474134711,0.5900410366910656,HydroInfo_100
4,-43.94879179618542508,525.8428842563302,2.09788109999225,HydroInfo_100
5,-44.18629602135573009,1619.4792396039243,2.058698917924618,HydroInfo_100
6,-43.83953047209143961,782.6279091955604,2.0183141558387216,HydroInfo_100
7,-42.45538124737279873,449.0291383575971,1.6525491265543728,HydroInfo_100
8,-42.63878542575073283,317.2521856770964,1.8939079155405447,HydroInfo_100
9,-42.53381784278891331,344.9164122336438,1.8241614914777615,HydroInfo_100
10,-42.22942288864594218,715.6139521785874,1.390389567385121,HydroInfo_100
11,-41.53715166468738573,402.23267371665827,1.1860532829954415,HydroInfo_100
12,-41.06187941165071464,274.2151902204636,1.2883912120522432,HydroInfo_100
13,-40.60091659990513335,260.8098298068382,1.0173779319593164,HydroInfo_100
14,-42.77531211891588470,399.22393556171914,1.7222441298681677,HydroInfo_100
15,-42.42567384225640126,567.5452635009841,1.5314569627558132,HydroInfo_100
16,-41.48941195025719963,320.5053349864248,1.2442329087995496,HydroInfo_100
17,-41.59726569226669568,510.2251015914761,1.101826753266273,HydroInfo_100
18,-42.36118753923432223,517.0878784415255,1.6105497193198948,HydroInfo_100
19,-41.48207912592008029,557.4101939546879,1.0270605879072947,HydroInfo_100
20,-39.22946929298743868,302.03831995148875,0.5440209998421501,HydroInfo_100
21,-41.22783469397206346,246.31150823263278,1.4410625711569836,HydroInfo_100
22,-41.02530816810963898,194.98095576505523,1.7550891408422,HydroInfo_100
23,-40.05586037405083033,133.2836277361987,1.2774209531876508,HydroInfo_100
24,-38.71534543379571147,133.80584480282178,0.7677764992891981,HydroInfo_100
25,-39.17537735758541118,156.6278411183045,0.5881863796436714,HydroInfo_100
26,-39.57633970932582912,209.73002176870324,0.6102458481055653,HydroInfo_100
27,-43.88782169121597576,1967.711763550312,1.9281542210075968,HydroInfo_100
28,-43.91532072963219235,2177.9673485101266,1.831163914760836,HydroInfo_100
29,-44.22329889846899675,402.9549543844394,2.141714459983019,HydroInfo_100
30,-44.57859480232196603,537.3747037921801,2.128858152022026,HydroInfo_100
31,-39.34673293247199410,390.74266415058685,0.31917977968031863,HydroInfo_100
32,-39.38908977824614510,428.24510807860116,0.2901296352408949,HydroInfo_100
33,-38.34259533714740087,117.26202009553641,0.6086815061349533,HydroInfo_500
34,-35.14429112503016484,185.69040968970572,0.0,HydroInfo_500
35,-37.64664000912893727,798.1418501486287,0.0,HydroInfo_500
36,-37.59753318459194560,132.3662578963024,0.5809980832821822,HydroInfo_500
37,-38.79486734165790551,195.60373396540325,0.2034374098196388,HydroInfo_500
38,-36.77810400668467139,207.87686382453856,0.0,HydroInfo_500
39,-38.32371493333645418,169.56178606485196,0.2372893283104176,HydroInfo_500
40,-44.55328953305961193,2284.9233985035185,2.0990978824433806,baseline_100
41,-40.92920904045548269,155.80221751846193,2.113702950522708,baseline_100
42,-39.57525918027566547,1336.7376362184996,0.4802677217064826,baseline_500
